Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Cygnus_cygnus,Anatidae,Anseriformes,Cygnus cygnus,102.4,45,29.7,21.7,102,582,260.5,321.5,44.8,171.5,9350,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,38.68,71.02,58.93,97.43,17099815.6,Extant
Cygnus_melancoryphus,Anatidae,Anseriformes,Cygnus melancoryphus,78.2,39.7,23.6,17.6,79.3,411.8,170.8,239,41.7,121.8,4711.7,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-55.98,-31.49,-42.43,-66.22,1143135.35,Extant
Cygnus_olor,Anatidae,Anseriformes,Cygnus olor,96.1,56.7,31,26.4,96.1,581.5,244.9,336.6,42.1,198.1,10682,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,36.12,63.37,49.96,41.72,4915289.2,Extant
Dendrocygna_arborea,Anatidae,Anseriformes,Dendrocygna arborea,52.9,37.8,19.6,17.2,65.5,256.5,77.2,179.3,30.1,72.8,1150,Forest,3,2,Herbivore,Omnivore,Terrestrial,15.2,24.8,21.23,-77.39,101817.5,Extant
Dendrocygna_arcuata,Anatidae,Anseriformes,Dendrocygna arcuata,42,29.2,15.4,14.1,45.4,186,58.2,130.1,30.9,49.8,796.2,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-36.35,18.65,-14.18,131.38,4892125.09,Extant
Dendrocygna_autumnalis,Anatidae,Anseriformes,Dendrocygna autumnalis,50.8,34.6,18.3,16.1,52.7,240.8,79.1,163.4,32.7,66,755.3,Wetland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-28.64,32.34,-4.7,-62.43,9443719.89,Extant
Dendrocygna_bicolor,Anatidae,Anseriformes,Dendrocygna bicolor,50.8,33.4,17.6,15.4,50.5,223,65.5,155,29.7,63,756.4,Wetland,3,2,Herbivore,Omnivore,Terrestrial,-39.86,34.72,-5.6,11.08,18668766.17,Extant
Dendrocygna_eytoni,Anatidae,Anseriformes,Dendrocygna eytoni,41.9,30.3,16.4,15.2,55.1,232,87,145,37.5,67.8,790,Grassland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-38.86,-10.69,-23.42,137.37,4778055.17,Extant
Dendrocygna_guttata,Anatidae,Anseriformes,Dendrocygna guttata,43.7,30.4,16.8,14.1,43.6,206.6,55.6,150.9,26.9,58.6,800,Wetland,3,2,Omnivore,Omnivore,Terrestrial,-14.14,9.83,-3.45,134.92,925989.76,Extant
Dendrocygna_javanica,Anatidae,Anseriformes,Dendrocygna javanica,43.5,29.1,15.7,13.1,41.6,193.8,62.8,128,32.9,51.2,519.6,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-8.85,40.94,20.14,92.69,7094720.18,Extant
Dendrocygna_viduata,Anatidae,Anseriformes,Dendrocygna viduata,48.1,30.7,15.7,14.1,47.9,214.3,58.6,151.6,28,67.1,690,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-39.24,18.31,-6.68,-0.49,27415311.66,Extant
Heteronetta_atricapilla,Anatidae,Anseriformes,Heteronetta atricapilla,52.2,36.1,15.7,13.1,33.5,173.6,73.9,98.6,42.9,56.6,538.4,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,-51.66,-17.87,-32.1,-63.41,1954559.19,Extant
