"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"67","Accipiter_soloensis","Accipitridae","Accipitriformes","Accipiter soloensis",25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,"Forest",1,"migratory","Carnivore","Vertivore","Insessorial",20.24,47.24,31.97,117.13,2375886.74,"Extant"
"68","Accipiter_striatus","Accipitridae","Accipitriformes","Accipiter striatus",19.4,10.5,8.7,10.4,49.8,184.2,60,124.2,32.5,144.2,130.6,"Forest",1,"migratory","Carnivore","Vertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"69","Accipiter_ventralis","Accipitridae","Accipitriformes","Accipiter ventralis",18.4,9.9,6.5,9.3,50.7,180,52.8,130,28.8,126.4,233,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"70","Accipiter_virgatus","Accipitridae","Accipitriformes","Accipiter virgatus",21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,"Forest",1,"partially_migratory","Carnivore","Vertivore","Generalist",-8.98,35.61,22.08,101.25,4398429.71,"Extant"
"71","Aquila_adalberti","Accipitridae","Accipitriformes","Aquila adalberti",61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,"Woodland",1,"partially_migratory","Carnivore","Vertivore","Generalist",36.28,41.56,39.06,-5.23,131221.76,"Extant"
"72","Aquila_africanus","Accipitridae","Accipitriformes","Aquila africanus",39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,"Woodland",1,"partially_migratory","Carnivore","Vertivore","Generalist",-8.47,9.95,1.97,13.68,1918245.9,"Extant"
"73","Aquila_audax","Accipitridae","Accipitriformes","Aquila audax",60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,"Woodland",1,"partially_migratory","Carnivore","Vertivore","Generalist",-43.64,-8.78,-25.74,134.48,7679648.03,"Extant"
"74","Aquila_chrysaetos","Accipitridae","Accipitriformes","Aquila chrysaetos",56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,"Extant"
"75","Aquila_clanga","Accipitridae","Accipitriformes","Aquila clanga",50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.3,"Wetland",3,"migratory","Carnivore","Vertivore","Generalist",38.72,65.94,55.15,73.97,8980278.98,"Extant"
"76","Aquila_fasciatus","Accipitridae","Accipitriformes","Aquila fasciatus",45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,"Rock",3,"partially_migratory","Carnivore","Vertivore","Aerial",-10.37,45.24,27.52,62.08,5630034.84,"Extant"
"77","Aquila_hastata","Accipitridae","Accipitriformes","Aquila hastata",44.4,26.4,14,18.9,90.2,456.5,191.8,264.8,42,208.5,1359.4,"Woodland",2,"partially_migratory","Carnivore","Vertivore","Generalist",8.07,32.46,21.43,81.1,2409106.07,"Extant"
"78","Aquila_heliaca","Accipitridae","Accipitriformes","Aquila heliaca",59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,"Woodland",1,"migratory","Carnivore","Vertivore","Generalist",35.35,59.75,49.87,70.89,9556213.62,"Extant"
"79","Aquila_nipalensis","Accipitridae","Accipitriformes","Aquila nipalensis",54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,"Grassland",3,"migratory","Carnivore","Vertivore","Aerial",31.2,53.52,43.73,85.14,6933240.92,"Extant"
"80","Aquila_pomarina","Accipitridae","Accipitriformes","Aquila pomarina",47.3,26.9,13.4,19.5,91.6,459.3,184.8,271,40.6,213,1359.4,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",35.81,60.04,49.67,26.85,2013351.79,"Extant"
"81","Aquila_rapax","Accipitridae","Accipitriformes","Aquila rapax",54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,"Shrubland",2,"migratory","Carnivore","Vertivore","Generalist",-34.31,36.93,3.92,30.52,17572054.36,"Extant"
"82","Aviceda_leuphotes","Accipitridae","Accipitriformes","Aviceda leuphotes",24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,"Forest",2,"migratory","Carnivore","Invertivore","Insessorial",8.56,33.35,23.21,103.96,3528791.57,"Extant"
"83","Butastur_indicus","Accipitridae","Accipitriformes","Butastur indicus",40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,"Woodland",2,"migratory","Carnivore","Vertivore","Insessorial",30.99,52.35,44.31,129.81,1828306.34,"Extant"
"84","Buteo_albigula","Accipitridae","Accipitriformes","Buteo albigula",27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,"Forest",2,"migratory","Carnivore","Vertivore","Generalist",-51.06,5.43,-24.5,-72.05,1021826.91,"Extant"
"85","Buteo_buteo","Accipitridae","Accipitriformes","Buteo buteo",35.6,21.1,12.5,16.6,75.7,374.6,143.8,231.2,38.2,204.1,759.1,"Grassland",3,"partially_migratory","Carnivore","Vertivore","Insessorial",12.3,67.81,52.89,64.71,16600070.45,"Extant"
"86","Buteo_jamaicensis","Accipitridae","Accipitriformes","Buteo jamaicensis",37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Woodland",2,"migratory","Carnivore","Vertivore","Insessorial",8.36,68.66,45.5,-105.33,15462822.34,"Extant"
"87","Buteo_lagopus","Accipitridae","Accipitriformes","Buteo lagopus",34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Grassland",3,"migratory","Carnivore","Vertivore","Insessorial",47.6,83.11,67.33,2.14,9709846.76,"Extant"
"88","Buteo_lineatus","Accipitridae","Accipitriformes","Buteo lineatus",33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,"Woodland",1,"migratory","Carnivore","Vertivore","Aerial",24.95,47.85,37.72,-86.88,3542030.5,"Extant"
"89","Buteo_platypterus","Accipitridae","Accipitriformes","Buteo platypterus",28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,"Forest",2,"migratory","Carnivore","Vertivore","Insessorial",11.13,55.3,42.9,-87.09,4864047.78,"Extant"
"90","Buteo_polyosoma","Accipitridae","Accipitriformes","Buteo polyosoma",36.3,21.1,13,18.3,83.4,402,153.3,249.8,38.1,192.8,782.6,"Shrubland",2,"partially_migratory","Carnivore","Vertivore","Aerial",-55.98,6.3,-31.98,-70.13,3165493.22,"Extant"
